<REG>,PMS150C,PMS15A,PMC153,PMS156,PMS130,PMS131,PMS132B,PMS152,PFS154,PMS164,PMS165C,PFS172,PFS173,PMS133,PMS134,PMS232,PMS234,PMC251,PMS271
0x22,#,#,#,#,ADCRH,ADCRH,PWMG0DTH,PWMG0DTH,PWMG0DTH,,PWMG0DTH,ADCR,ADCR,ADCRH,ADCRH,,ADCRH ,ADCRH,ADCR
0x23,#,#,#,#,ADCRL,ADCRL,PWMG0DTL,PWMG0DTL,PWMG0DTL,,PWMG0DTL,,,ADCRL,ADCRL,,ADCRL,ADCRL,
0x24,#,#,#,#,,,PWMG0CUBH,PWMG0CUBH,PWMG0CUBH,,PWMG0CUBH,,ADCRGC,ADCRGC,ADCRGC,,,,
0x25,#,#,#,#,RSTST,RSTST,PWMG0CUBL,PWMG0CUBL,PWMG0CUBL,,PWMG0CUBL,,,,,RSTST,RSTST,RSTST,RSTST
0x26,#,#,#,#,,,PWMG1C,PWMG1C,PWMG1C,,PWMG1C,MISC,MISC,MISC,MISC,,,,
0x27,#,#,#,#,,,PWMG1S,,PWMG1S,,PWMG1S,MISC2,MISC2,MISC2,MISC2,,,,
0x28,#,#,#,#,,,PWMG1DTH,PWMG1DTH,PWMG1DTH,,PWMG1DTH,MISC_LVR,MISC_LVR,MISC_LVR,MISC_LVR,,,,
0x29,#,#,#,#,,,PWMG1DTL,PWMG1DTL,PWMG1DTL,,PWMG1DTL,,,,,,,,
0x2A,#,#,#,#,,,PWMG1CUBH,,PWMG1CUBH,,PWMG1CUBH,,,,,,,,
0x2B,#,#,#,#,,,PWMG1CUBL,,PWMG1CUBL,,PWMG1CUBL,GPCC,GPCC,GPCC,GPCC,,,,
0x2C,#,#,#,#,,,PWMG2C,PWMG2C,PWMG2C,,PWMG2C,GPCS,GPCS,GPCS,GPCS,,,,
0x2D,#,#,#,#,,,PWMG2S,,PWMG2S,MISC_LVR,PWMG2S,,,,,,,,
0x2E,#,#,#,#,TM3C,TM3C,PWMG2DTH,PWMG2DTH,PWMG2DTH,,PWMG2DTH,,,,,,,,
0x2F,#,#,#,#,TM3CT,TM3S,PWMG2DTL,PWMG2DTL,PWMG2DTL,,PWMG2DTL,,,,,,,,
0x30,#,#,#,#,,TM3CT,PWMG2CUBH,,PWMG2CUBH,,PWMG2CUBH,TM2C,TM2C,TM2C,TM2C,,,,
